Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"OZ","Queensland","F","14","R","155","22","160","1","Bus","20","0.37","39","Swimming","1000","1000","1000","1000","617","545",
"OZ","OZn Capitol Territory","F","12","R","163","23","155","1","Bus","35","0.35","33","Swimming","917","858","888","900","687","663",
"CA","Alberta","M","12","R","149","25","151","2","Walk","1","0.482","29","Skateboarding/Rollerblading","1000","909","1000","513","513","647",
"CA","Ã?le-du-Prince-Ã?douard","F","13","R","159","23","159","2","Bus","2","0.43","37","Hockey (Ice)","1000","1000","1000","1000","27","16",
"USA","CO","F","17","R","162","24","160","1","Car","10","0","0","Golf","500","500","700","500","500","700",
"USA","MO","F","17","R","167","25","167","1","Car","15","0.311","48","Other","0","0","0","","1000","1000",
"OZ","New South Wales","M","18","R","191","28","186","2","Car","7","0.35","37","Rugby Union","330","360","342","450","563","581",
"UK","East Midlands","F","13","R","165","27","166","3","Bus","15","0.34","35","Cricket","850","1000","845","776","261","266",
"UK","South West","M","17","L","187","27","187","1","Bus","50","0.31","34","Table Tennis","163","148","152","152","888","877",
"UK","North West","M","14","R","165","25","178","2","Walk","6","0.14","44","Football/Soccer","799","711","1000","1000","638","396",
"UK","North West","F","13","R","177","27","160","2","Walk","5","0","57","Running/Jogging","1000","1000","1000","996","500","500",
"CA","Ontario","F","13","L","160","22","152","2","Car","3","0.44","39","Hockey (Ice)","1000","369","37","48","1000","1000",
"CA","Ontario","F","14","L","164","18","150","2","Car","10","0.578","23","Dancing","439","128","487","241","1000","1000",
"CA","Ontario","M","13","R","147","20","152","2","Walk","4","0.487","48","Football/Soccer","824","428","283","856","1000","1000",
"USA","TX","F","17","R","163","23","178","1","Car","20","0.425","39","Martial Arts","200","200","300","300","1000","1000",
"OZ","Victoria","M","12","R","165","25","150","1","Cycle","6","0.34","48","Tennis","332","178","610","255","1000","1000",
"NZ","Southland","F","12","R","152","24","200","1","Bus","45","0.344","0","Hockey (Field)","1000","","750","","","",
"CA","Ontario","M","13","R","139","22","144","1","Walk","30","0.46","38","Football/Soccer","1000","1000","1000","1000","1000","1000",
"CA","Ontario","M","18","R","178","30","173","1","Car","15","0.437","24","Martial Arts","428","417","422","406","1000","529",
